basics1
hi!	hei!
I	jeg
to be called	å hete
am/are/is	er
Norwegian	norsk
what	hva
you	du
not	ikke
where	hvor
to come	å komme
from	fra
English	engelsk
but	men
to live	å bo
now	nå
with	med
car	bil
no	nei
to have	å ha
bike	sykkel
yes	ja
and	og
to learn	å lære
will	vil
would like to	vi gjerne
to travel	å reise
to	til
Norway	Norge
when	når
this summer	i sommer
aeroplane	fly
to meet	å møte
a	en
pub	pub
how	hvordan
it	det
fine	fint/bra
thank you	takk
only	bare
a	et
glass	glass
beer	øl
to see	å se
he	han
shall	skal
now	nå
train	tog
bye-bye!	ha det!
cup	kopp
coffee	kaffe
more/another	til
she	hun
medicine	medisin
to study	å studere
