basics2
to become	å bli
teacher	lærer
hotel (et)	hotell
manager/director (en)	direktør
on,at	på
holiday (en)	ferie
you	deg
to like	å like
as well/also	også
the teacher	læreren
boring	kjedelig
old	gammel
lady (en)	dame
a course	et kurs
big	stor
school (en)	skole
each	hver
Monday	mandag
evening (en)	kveld
this evening	i kveld
rather	heller
to go	å gå
can	kan
me	meg
after	etter
so/then	så
must	må
we	vi
together	sammen
to be	å være
the whole	hele
a time	en tid
hard/tough	hard
to take	å ta
two	to
or	eller
three	tre
if	hvis
July (en)	juli
ferry	ferge
to drive	å kjøre
gladly	gjerne
Sweden	Sverige
better	bedre
good	godt
map (et)	kart
over/of	over
road (en)	vel
Europe	Europa
which, that	som
six	seks
further	vidre
passport (et)	pass
to order	å bestille 
a ticket	en billett
tomorrow	i morgem
Sunday	søndag
Tuesday	tirsdag
Wednesday	onsdag
late	sent
at the house of	hos
my	min
aunt (en)	tante
Thursday	torsdag
Friday	fredag
Saturday	lørdag
four	fire
five	fem
a day	en dag
why	hvorfor
because	fordi
pleasant/nice	hyggelig
to meet	å treffe
cinema (en)	kino
film (en)	film
hope to see you again!	på gjensyn!
