basics5
bad	dårlig
humour/mood (et)	humør
it rains	det regner
weather (et)	vær
alone	alene
the Norwegian Parliament	Stortinget
by, at, near	ved
The National Theatre	Nationalteatret
kiosk (en)	kiosk
to buy	å kjøpe
some	noen
postcards (et)	kort
behind	bak
the counter (en)	disken
the door (en)	døren
which (plural)	hvlike
stand (et)	stativ
to find	å finne
to cost	å koste
Norwegian monetary unit	kroner
stamps (et)	frimerker
to sell	å selgel
to send	å sende
for	for
post (en)	post
hundred (et)	hundre
eleven	elleve
tourist information office	turistinformasjonen
to know	å vite
down	ned
almost	nesten
to mean	å mene
the man (en)	mannen
to smile	å smile
him	ham
to help	å hjelpe
to do	å gjøre
brochure (en)	brosjyre
plays (et)	teaterstykker
this	denne
week (en)	uke
exhibitions (en)	utstillinger
opening times (en)	åpningstider
museums (et)	museer
pop concerts	pop-konserter
concert (en)	konsert
everything/all	alt
Central railway station (en)	Sentralbanestasjonen
perhaps	kanskje
twenty	tjue
minutes (et)	minutter
other	andre
end (en)	enden
excuse me	unnskyld
to explain	å forklare
time (en)	gang
once more	en gang til
then	da
the help (en)	hjelpen
reason (en)	årsak
no reason ('that's all right')	ingen årsak
traveller's cheques (en)	reisesjekker
need(s)	trenger
money	penger
bank (en)	bank
the cashdesk (en)	kassen
change/exchange	veksle
both	begge
what kind of	hva slags
bank notes (en)	sedler
thousand (et)	tusen
remainder (en)	rest
coins (et)	mynter
Norwegian menetary unit (small)	øre
much too	altfor
like	like
each other	hverandre
easy	lett
true	sant
your (plural)	dine
to write	å skrive
a name	et navnet
paper (et)	papir
the receipt (en)	kvitteringen
your/yours (for et-words)	ditt
look at	se på
a long time	lenge
roughly	omtrent
the Arctic Circle	Polarsirkelen
