basics6
both	både
the Kontiki raft	Kontiki
the Viking ships	vikingskipene
a ship	et skip
home (going home)	hjem
quarrel(s)	krangler
quarrelled	kranglet
to ring	å ringe
to knock/dial/tap	å slå
the number (et)	nummeret
little brother	lillebror
worst	verst
not too bad	ikke så verst
soon	snart
yes	jo
mother (en)	mor
at home	hjemme
to fetch	å hente
her	henne
the telephone (en)	telefonen
to hear	å høre
all yesterday	i hele går
later	senere
full	fullt
father (en)	far
others	andre
Can/May i help you?	Vær så god?
at ... o'clock	klokken
which means	altså
departure (en)	avgang
cheaper	billigere
cheap	billig
was/were	var
lucky	heldig
return ticket (en)	returbillett
reserved seat (en)	plassbillett
extra	ekstra
windowseat (en)	vindusplass
free	ledig
left	igjen
to hold/keep	å holde
at once	med en gang
fetched	hentet
her/his/their own	sin
dialled	slo
answered	svarte
the Oslo-Bergen train	Bergensbanen
since	siden
one moment	et øyeblikk
suddenly	plutselig
a while	en stund
difficult	vanskelig
a couple of	et par
to wait	å vente
the family (en)	familien
with	hos
the dentist (en)	tannlegen
the hairdresser (en)	frisøren
more important	viktig
to understand	å forstå
to pack	å pakke
tent (et)	telt
the address (en)	adressen
in	om
weeks	uker
happy that	glad forat
to add	å legge sammen
to take away	å trekke fra
to multiply	å gange
to devide	å dividere
up	opp
patient (en)	pasient
us	oss
